0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,label
-113.59882,121.57067,-19.162262,42.36394,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970945,-8.326061,8.802088,-3.6699412,50.688946,17.200207,15.348761,12.289782,12.961206,9.443115,8.22211,8.306714,9.067516,7.959054,7.859071,7.161058,6.419961,blues
-207.52383,123.98514,8.947019,35.86715,2.9095948,21.519472,-8.556514,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.234492,88.142525,23.66249,23.923552,16.270117,16.732485,12.504671,14.170464,11.940147,12.888547,10.21554,10.254578,9.808391,8.054382,blues
-90.757164,140.44087,-29.084547,31.686693,-13.976547,25.753752,-13.66499,11.634442,-11.778322,9.714756,-13.125314,5.7912464,-8.901966,57.6011,22.55784,20.29937,11.998093,12.476432,8.625063,10.336393,10.320866,8.09211,8.236647,7.5942054,8.030863,7.771137,blues
-199.57513,150.0861,5.663404,26.855278,1.7700713,14.232647,-4.8278446,9.286853,-0.75612015,8.134435,-3.200026,6.078081,-2.478445,74.2177,21.361393,16.034643,12.584162,16.369904,11.26088,12.487864,9.015004,9.607383,8.448777,10.500921,6.9436674,7.535,blues
-160.35417,126.20948,-35.581394,22.139257,-32.47355,10.850702,-23.35007,0.4932492,-11.796538,1.2035191,-13.084959,-2.8104992,-6.9344707,72.10481,29.210808,18.27655,13.919526,18.341904,11.613141,9.658857,11.168416,11.400674,9.9858465,8.957855,9.297122,9.462997,blues
-177.80174,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.408764,-9.348446,85.48365,56.52615,25.575533,22.038372,20.815298,16.321997,13.027126,11.563018,13.123481,10.006048,8.7495575,8.877085,8.950292,blues
-190.0688,130.27023,-36.362114,33.036213,11.093892,-0.59188205,-20.890266,0.27844247,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,98.25145,43.9739,36.152878,21.913311,32.90848,16.736532,12.315981,10.141663,11.449826,12.385571,9.3544855,8.013118,8.896452,blues
-179.3723,136.44833,-26.662588,39.96545,5.3108945,10.919133,-20.559534,8.503361,-11.349764,-3.4705548,-8.415842,-6.957211,-3.5460427,81.07715,38.458363,24.314785,18.7991,25.496857,11.674244,12.794263,12.299772,13.111818,13.350184,12.147465,9.149783,9.657396,blues
-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549,51.182755,20.360193,18.47225,13.92542,13.3069935,10.341514,7.593371,8.783775,6.524472,7.6714864,6.9941754,7.5189896,7.8707085,blues
-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.1827,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263552,78.3133,28.253563,25.866669,18.73323,23.065073,16.680668,11.24508,8.244039,10.492645,9.623029,9.211916,10.2183,8.737599,blues
-173.81046,137.17355,-23.72303,26.979677,-16.67521,4.1947303,-12.571788,5.851669,-2.8769505,-1.1783808,-1.9682404,1.8011796,-3.0069504,90.238914,32.90371,32.077187,22.257994,17.023214,12.6521225,12.268544,9.079922,10.4205675,8.102306,7.451989,7.6105366,9.677182,blues
-287.9319,124.010765,5.4674478,33.66307,1.091654,14.703699,-4.8811417,8.668892,0.78433156,6.5760803,-4.875815,-3.176761,-5.538258,77.015236,31.543549,17.38032,18.560555,21.005148,15.3422575,12.228331,13.759414,12.193044,10.687589,9.683863,9.175842,8.1112795,blues
-207.2383,132.82741,-15.45408,60.980972,0.71902627,12.461328,1.163385,-1.5329198,-17.895847,8.360363,-2.459651,-0.5846392,0.3722645,67.64448,25.807415,30.581554,18.180555,17.718584,10.055081,10.389085,10.565761,9.817126,9.737114,11.817762,9.6303835,9.280758,blues
-209.80392,124.46476,10.309394,47.016357,6.478227,15.41512,-2.0159416,6.7262187,-21.543222,10.720835,-5.5328465,-2.1957276,-3.0491858,44.369503,23.279465,25.73227,12.182557,10.094635,12.090125,8.332613,8.718923,9.819252,9.7908325,9.521119,7.694036,7.23287,blues
-305.66437,113.07102,12.107334,45.052197,17.734385,14.590071,4.147996,0.22631137,-7.021587,13.646477,8.91421,1.3037986,5.954979,90.51317,26.117973,38.245975,14.985571,15.774929,12.4327,12.554463,12.918809,9.87876,8.76354,9.488391,7.917947,8.019833,blues
-238.51962,120.10219,-4.221948,42.294594,5.923822,13.911398,5.350524,1.8952672,-16.92809,12.343145,3.9388995,-1.3966831,0.013027678,66.17874,26.984787,31.285717,19.575136,17.283571,10.834489,10.93795,11.994966,9.477281,8.731137,9.033889,7.8044834,7.7824545,blues
-233.77281,120.66434,-3.164092,39.514828,3.8315244,18.828156,-3.678738,4.4254684,-14.964929,17.571478,1.8461248,2.5500884,-1.2302392,70.41757,23.701458,34.74571,19.920452,16.866493,12.50294,10.022331,10.56024,10.076125,10.110481,10.419307,8.156763,8.066139,blues
-245.68724,140.48125,-2.7912185,60.404514,18.903513,9.828394,3.563824,0.52286255,-16.378489,6.6293535,7.2584243,-4.021235,1.601125,72.08507,28.287134,28.21038,18.997026,15.344066,9.991208,10.888111,9.659253,11.362887,10.258175,9.839573,8.445612,8.541871,blues
-252.48178,104.94516,15.296445,42.68784,6.770452,21.611765,-1.3111783,5.6817455,-16.636873,12.16935,-1.9619533,1.9602653,-0.89822775,53.611404,24.577625,25.728199,12.756242,9.637041,10.829065,8.571541,10.026283,11.207312,11.120345,7.222533,8.047303,6.982861,blues
-236.67947,138.4056,-4.9304795,47.6545,5.1578503,8.887806,0.4874058,-3.788342,-14.984867,10.428946,-0.3413841,0.783359,1.7809838,74.6769,23.157814,34.16023,17.642038,21.593693,9.574885,9.902548,12.609613,8.794789,10.222541,11.598304,8.970518,8.8266945,blues
-230.36378,127.07773,7.1146965,39.767056,1.9217218,17.410606,-5.626918,8.2406645,-18.116041,13.844725,-3.7571108,2.579849,-4.3167143,54.673214,19.944132,24.502907,13.266759,10.790005,10.008848,8.926415,8.336122,7.7557545,8.527019,8.459759,8.636519,7.911321,blues
-264.67126,138.85434,11.167329,48.523926,14.904312,20.586437,3.2061763,1.2635795,-15.839373,15.975112,3.358218,-1.5066409,1.8969209,79.628624,31.645363,35.826588,19.268068,15.752653,11.402316,10.952874,10.218165,9.767083,9.236078,8.89637,8.481329,8.368645,blues
-233.96312,136.14453,3.3066366,48.930626,8.705184,13.989511,5.3627157,0.410189,-13.483555,16.860369,5.134752,-2.2307272,3.9538214,80.64891,30.979477,34.102406,19.595057,17.453188,12.861146,10.272203,11.319863,12.328202,9.09573,10.69404,8.787573,8.124322,blues
